,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1593,2023-08-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,39693.0,17,"[31500, 31590]",3,13231.0
1594,2023-08-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,423.0,1,[31013],1,423.0
1600,2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,719858.0,191,"[31620, 31621, 31110, 31239, 31240, 31241, 31243, 31630, 31119, 31001, 31002, 31132, 31005, 31006, 31263, 31008, 31009, 31010, 31011, 31012, 31013, 31014, 31015, 31016, 31264, 31150, 31151, 31281, 31160, 31800, 31292, 31420, 31170, 31171, 31300, 31174, 31180, 31486, 31440, 31314, 31699, 31190, 31191, 31192, 31830, 31195, 31580, 31133, 31200, 31587, 31007, 31591, 31470, 31600, 31610, 31100, 31230]",6,119976.33333333333
1604,2023-09-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,164496.0,38,"[31200, 31264, 31620, 31110, 31591, 31176, 31593, 31592, 31486, 31570, 31699, 31192, 31132, 31290, 31292, 31262]",4,41124.0
1608,2023-09-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,66907.0,10,"[31200, 31392, 31460, 31496, 31410, 31314, 31480, 31481, 31514]",4,16726.75
1609,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,1092.0,1,[31176],1,1092.0
1610,2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,3641.0,1,[31190],1,3641.0
1611,2023-01-15,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,108.0,1,[31500],1,108.0
1612,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,1665.0,7,"[31500, 31100, 31870, 31878, 31713, 31714, 31500]",1,1665.0
1614,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,8189.0,6,"[31840, 31175, 31850, 31292, 31870]",2,4094.5
1616,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,4927.0,6,"[31698, 31500]",2,2463.5
1617,2023-03-26,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,1758.0,1,[31794],1,1758.0
1618,2023-07-07,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,76400.0,12,"[31391, 31391, 31391, 31383, 31391, 31382, 31314, 31382, 31382, 31382, 31382, 31310]",1,76400.0
1620,2023-10-18,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,9030.0,5,"[31810, 31523, 31891, 31829, 31867]",2,4515.0
1621,2023-10-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,646.0,1,[31710],1,646.0
1624,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,2350.0,4,"[31800, 31713, 31850, 31500]",3,783.3333333333334
1629,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Navarra,55845.0,73,"[31239, 31752, 31754, 31500, 31131, 31520, 31521, 31523, 31780, 31398, 31272, 31800, 31292, 31178, 31820, 31699, 31700, 31190, 31191, 31840, 31200, 31714, 31470, 31471, 31227, 31229, 31230]",5,11169.0
1633,2023-01-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Ourense,780217.0,116,"[32001, 32130, 32515, 32901, 32133, 32652, 32781, 32140, 32910, 32400, 32660, 32151, 32792, 32793, 32411, 32415, 32417, 32418, 32420, 32678, 32170, 32172, 32429, 32941, 32431, 32688, 32813, 32940, 32820, 32694, 32698, 32570, 32572, 32701, 32453, 32710, 32454, 32456, 32457, 32720, 32593, 32980, 32981, 32600, 32611, 32613, 32102, 32870, 32618, 32500, 32630, 32631, 32120, 32635]",4,195054.25
